rid,date,venue,season,fs,cost,ret,win_pairs,n_in,hit,real
2021-01-01_ST_1,2021-01-01,ST,2020-21,14,60.0,0.0,0,1,0,False
2021-01-01_ST_10,2021-01-01,ST,2020-21,14,60.0,150.31808205755158,1,2,1,False
2021-01-01_ST_11,2021-01-01,ST,2020-21,14,60.0,26.332170738747692,1,2,1,False
2021-01-01_ST_2,2021-01-01,ST,2020-21,13,60.0,32.2733822859933,1,2,1,False
2021-01-01_ST_4,2021-01-01,ST,2020-21,14,60.0,82.4588337902285,1,2,1,False
2021-01-01_ST_5,2021-01-01,ST,2020-21,14,60.0,26.89763342692117,1,2,1,False
2021-01-01_ST_6,2021-01-01,ST,2020-21,14,60.0,0.0,0,1,0,False
2021-01-01_ST_7,2021-01-01,ST,2020-21,14,60.0,82.0313774555667,1,2,1,False
2021-01-01_ST_8,2021-01-01,ST,2020-21,8,60.0,32.24519373467729,1,2,1,False
2021-01-01_ST_9,2021-01-01,ST,2020-21,14,60.0,0.0,0,1,0,False
2021-01-06_HV_1,2021-01-06,HV,2020-21,12,60.0,0.0,0,1,0,False
2021-01-06_HV_2,2021-01-06,HV,2020-21,12,60.0,220.83642350763793,3,3,1,False
2021-01-06_HV_3,2021-01-06,HV,2020-21,12,60.0,53.74484452063456,1,2,1,False
2021-01-06_HV_4,2021-01-06,HV,2020-21,10,60.0,159.04989016737244,3,3,1,False
2021-01-06_HV_5,2021-01-06,HV,2020-21,12,60.0,77.93297369641499,1,2,1,False
2021-01-06_HV_6,2021-01-06,HV,2020-21,12,60.0,146.0231388010999,3,3,1,False
2021-01-06_HV_7,2021-01-06,HV,2020-21,12,60.0,220.20052127317422,3,3,1,False
2021-01-06_HV_8,2021-01-06,HV,2020-21,12,60.0,0.0,0,1,0,False
2021-01-06_HV_9,2021-01-06,HV,2020-21,12,60.0,53.182316681642554,1,2,1,False
2021-01-10_ST_1,2021-01-10,ST,2020-21,12,60.0,177.36322536702124,3,3,1,False
2021-01-10_ST_10,2021-01-10,ST,2020-21,14,60.0,26.391612507380025,1,2,1,False
2021-01-10_ST_2,2021-01-10,ST,2020-21,14,60.0,45.37605226421906,1,2,1,False
2021-01-10_ST_3,2021-01-10,ST,2020-21,12,60.0,30.07920033246243,1,2,1,False
2021-01-10_ST_4,2021-01-10,ST,2020-21,14,60.0,35.16026011463116,1,2,1,False
2021-01-10_ST_5,2021-01-10,ST,2020-21,14,60.0,41.938799403840854,1,2,1,False
2021-01-10_ST_6,2021-01-10,ST,2020-21,14,60.0,52.34833894843073,1,2,1,False
2021-01-10_ST_7,2021-01-10,ST,2020-21,12,60.0,19.183540317367644,1,2,1,False
2021-01-10_ST_8,2021-01-10,ST,2020-21,12,60.0,0.0,0,1,0,False
2021-01-10_ST_9,2021-01-10,ST,2020-21,14,60.0,0.0,0,1,0,False
2021-01-13_HV_1,2021-01-13,HV,2020-21,11,60.0,27.502166255101027,1,2,1,False
2021-01-13_HV_2,2021-01-13,HV,2020-21,12,60.0,27.168462655139898,1,2,1,False
2021-01-13_HV_3,2021-01-13,HV,2020-21,12,60.0,24.425947155582083,1,2,1,False
2021-01-13_HV_4,2021-01-13,HV,2020-21,12,60.0,48.92013735950945,1,2,1,False
2021-01-13_HV_5,2021-01-13,HV,2020-21,12,60.0,98.46738163792307,1,2,1,False
2021-01-13_HV_6,2021-01-13,HV,2020-21,12,60.0,134.7920396414222,3,3,1,False
2021-01-13_HV_7,2021-01-13,HV,2020-21,12,60.0,0.0,0,1,0,False
2021-01-13_HV_8,2021-01-13,HV,2020-21,12,60.0,38.92097676110784,1,2,1,False
2021-01-13_HV_9,2021-01-13,HV,2020-21,12,60.0,57.65085315063472,1,2,1,False
