feature,level,n,wins,places,win_rate_pct,place_rate_pct,win_lift,place_lift
檔位,1,9027,920,2626,10.2,29.1,1.262,1.211
檔位,2,9030,848,2431,9.4,26.9,1.163,1.121
檔位,3,9031,823,2374,9.1,26.3,1.129,1.095
檔位,4,9031,762,2290,8.4,25.4,1.045,1.056
檔位,5,9034,773,2309,8.6,25.6,1.061,1.063
檔位,6,8999,721,2177,8.0,24.2,0.997,1.008
檔位,7,8940,660,2117,7.4,23.7,0.925,0.989
檔位,8,8840,638,2011,7.2,22.8,0.913,0.959
檔位,9,8666,599,1883,6.9,21.7,0.884,0.927
檔位,10,8432,601,1787,7.1,21.2,0.923,0.915
檔位,11,8069,526,1635,6.5,20.3,0.856,0.887
檔位,12,7568,550,1561,7.3,20.6,0.967,0.915
檔位,13,5766,341,1038,5.9,18.0,0.816,0.828
檔位,14,5171,335,932,6.5,18.0,0.901,0.836
出馬數,5,95,19,38,20.0,40.0,1.0,1.0
出馬數,6,378,63,126,16.7,33.3,1.0,1.0
出馬數,7,770,110,330,14.3,42.9,1.0,1.0
出馬數,8,1360,170,510,12.5,37.5,1.0,1.0
出馬數,9,2205,245,737,11.1,33.4,1.0,1.003
出馬數,10,3900,391,1171,10.0,30.0,1.003,1.001
出馬數,11,6512,592,1777,9.1,27.3,1.0,1.001
出馬數,12,20964,1752,5245,8.4,25.0,1.003,1.001
出馬數,13,12519,964,2890,7.7,23.1,1.001,1.0
出馬數,14,66878,4785,14347,7.2,21.4,1.002,1.001
生涯第幾戰,1,7544,507,1319,6.7,17.5,0.851,0.745
生涯第幾戰,2,6665,498,1335,7.5,20.0,0.96,0.863
生涯第幾戰,3,6207,484,1345,7.8,21.7,1.006,0.934
生涯第幾戰,4,5779,492,1281,8.5,22.2,1.106,0.963
生涯第幾戰,5,5324,470,1277,8.8,24.0,1.147,1.04
生涯第幾戰,6,4940,405,1193,8.2,24.2,1.063,1.045
生涯第幾戰,7,4657,440,1226,9.4,26.3,1.225,1.14
生涯第幾戰,8,4345,418,1186,9.6,27.3,1.243,1.178
生涯第幾戰,9,4070,383,1118,9.4,27.5,1.212,1.181
生涯第幾戰,10,3908,401,1096,10.3,28.1,1.314,1.2
生涯第幾戰,11,3652,342,1079,9.4,29.6,1.203,1.266
生涯第幾戰,12,3511,326,993,9.3,28.3,1.188,1.209
生涯第幾戰,13,3331,292,943,8.8,28.3,1.112,1.201
生涯第幾戰,14,3143,261,847,8.3,27.0,1.05,1.14
生涯第幾戰,15,2966,262,842,8.8,28.4,1.115,1.198
生涯第幾戰,16,2836,278,775,9.8,27.3,1.236,1.155
生涯第幾戰,17,2712,221,710,8.2,26.2,1.028,1.107
生涯第幾戰,18,2570,225,717,8.8,27.9,1.103,1.175
生涯第幾戰,19,2451,186,626,7.6,25.5,0.944,1.064
生涯第幾戰,20,2312,186,561,8.0,24.3,1.006,1.016
生涯第幾戰,21,2231,165,521,7.4,23.4,0.927,0.98
生涯第幾戰,22,2080,147,467,7.1,22.4,0.886,0.941
生涯第幾戰,23,1997,141,450,7.1,22.5,0.887,0.946
生涯第幾戰,24,1869,123,411,6.6,22.0,0.822,0.922
生涯第幾戰,25,1823,128,420,7.0,23.0,0.88,0.967
生涯第幾戰,26,1647,104,359,6.3,21.8,0.786,0.91
生涯第幾戰,27,1579,123,354,7.8,22.4,0.977,0.94
生涯第幾戰,28,1493,95,300,6.4,20.1,0.789,0.836
生涯第幾戰,29,1375,80,272,5.8,19.8,0.725,0.825
生涯第幾戰,30,1332,67,266,5.0,20.0,0.629,0.838
生涯第幾戰,31,1231,70,235,5.7,19.1,0.709,0.798
生涯第幾戰,32,1135,66,211,5.8,18.6,0.727,0.779
生涯第幾戰,33,1054,60,204,5.7,19.4,0.719,0.818
生涯第幾戰,34,1037,69,218,6.6,21.0,0.834,0.881
生涯第幾戰,35,918,50,164,5.4,17.9,0.678,0.745
生涯第幾戰,36,833,47,164,5.6,19.7,0.705,0.824
生涯第幾戰,37,799,31,133,3.9,16.7,0.487,0.7
生涯第幾戰,38,732,36,136,4.9,18.6,0.625,0.788
生涯第幾戰,39,633,30,102,4.7,16.1,0.598,0.68
生涯第幾戰,40,572,31,116,5.4,20.3,0.68,0.851
